framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,320,4096,1536,8,128,1,64,power_law_1.2,0.12655999660491943
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,384,4096,1536,8,128,1,64,power_law_1.2,0.13601280450820924
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,512,4096,1536,8,128,1,64,power_law_1.2,0.15525120496749878
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,768,4096,1536,8,128,1,64,power_law_1.2,0.20606720447540283
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,1024,4096,1536,8,128,1,64,power_law_1.2,0.2567487955093384
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,1536,4096,1536,8,128,1,64,power_law_1.2,0.36401920318603515
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,2048,4096,1536,8,128,1,64,power_law_1.2,0.44141440391540526
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,512,7168,2048,8,384,1,4,power_law_1.2,1.368838405609131
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,2,7168,2048,8,384,4,1,balanced,0.08071466783682506
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,4,7168,2048,8,384,4,1,balanced,0.15392000476519266
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,8,7168,2048,8,384,4,1,balanced,0.25442665815353394
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,2048,6144,16384,2,8,16,1,power_law_1.01,0.10351999998092651
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,16,7168,2048,8,384,4,1,balanced,0.4623039960861206
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,3072,4096,14336,2,8,16,1,power_law_1.01,0.0964735984802246
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,32,7168,2048,8,384,4,1,balanced,0.9012320041656494
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,192,4096,2688,22,512,1,1,balanced,15.962533315022787
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,48,7168,2048,8,384,4,1,balanced,1.3446133931477864
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,64,7168,2048,8,384,4,1,balanced,1.350613276163737
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,3072,4096,1536,8,128,1,64,power_law_1.2,0.659276819229126
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,80,7168,2048,8,384,4,1,balanced,1.3814826011657715
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,96,7168,2048,8,384,4,1,balanced,1.3814934094746907
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,128,7168,2048,8,384,4,1,balanced,1.3602186838785808
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,160,7168,2048,8,384,4,1,balanced,1.3593014081319172
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,4096,4096,1536,8,128,1,64,power_law_1.2,0.8545280456542969
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,192,7168,2048,8,384,4,1,balanced,1.3636746406555176
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,256,7168,2048,8,384,4,1,balanced,1.3712959289550781
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,320,7168,2048,8,384,4,1,balanced,1.3806559244791667
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,384,7168,2048,8,384,4,1,balanced,1.3981599807739258
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,256,4096,2688,22,512,1,1,balanced,15.949872334798178
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,512,7168,2048,8,384,4,1,balanced,1.4212160110473633
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,3072,6144,16384,2,8,16,1,power_law_1.01,0.13730560541152953
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,4096,6144,16384,2,8,16,1,power_law_1.01,0.17340799570083618
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,6144,4096,1536,8,128,1,64,power_law_1.2,1.225113582611084
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,4096,4096,14336,2,8,16,1,power_law_1.01,0.12021119594573974
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,320,4096,2688,22,512,1,1,balanced,15.94058100382487
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,768,7168,2048,8,384,1,4,power_law_1.2,1.5208191871643066
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,768,7168,2048,8,384,4,1,balanced,1.7513333956400554
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,1024,7168,2048,8,384,4,1,balanced,1.7684799830118816
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,1024,7168,2048,8,384,1,4,power_law_1.2,1.7011775970458984
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,1536,7168,2048,8,384,4,1,balanced,1.8059520721435547
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,1536,7168,2048,8,384,1,4,power_law_1.2,1.8794559478759765
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,2048,7168,2048,8,384,4,1,balanced,1.852394739786784
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,384,4096,2688,22,512,1,1,balanced,15.94275156656901
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,3072,7168,2048,8,384,4,1,balanced,1.997861385345459
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,2048,7168,2048,8,384,1,4,power_law_1.2,2.0071807861328126
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,4096,7168,2048,8,384,4,1,balanced,2.0986293156941733
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,6144,7168,2048,8,384,4,1,balanced,2.3339999516805015
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,3072,7168,2048,8,384,1,4,power_law_1.2,2.4034175872802734
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,8192,7168,2048,8,384,4,1,balanced,3.488213221232096
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,4096,7168,2048,8,384,1,4,power_law_1.2,2.7122175216674806
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,6144,6144,16384,2,8,16,1,power_law_1.01,0.2367039918899536
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,12288,7168,2048,8,384,4,1,balanced,3.9038025538126626
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,512,4096,2688,22,512,1,1,balanced,15.951131184895834
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,6144,7168,2048,8,384,1,4,power_law_1.2,3.4100414276123048
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,16384,7168,2048,8,384,4,1,balanced,5.354207992553711
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,1,3072,1536,8,256,4,1,balanced,0.02754666656255722
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,2,3072,1536,8,256,4,1,balanced,0.03344533344109853
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,4,3072,1536,8,256,4,1,balanced,0.04643199841181437
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,8,3072,1536,8,256,4,1,balanced,0.072543998559316
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,16,3072,1536,8,256,4,1,balanced,0.12469333410263062
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,32,3072,1536,8,256,4,1,balanced,0.19577600558598837
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,48,3072,1536,8,256,4,1,balanced,0.23707733551661173
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,8192,7168,2048,8,384,1,4,power_law_1.2,4.141279983520508
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,64,3072,1536,8,256,4,1,balanced,0.23875200748443604
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,80,3072,1536,8,256,4,1,balanced,0.22075732549031576
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,96,3072,1536,8,256,4,1,balanced,0.22205867369969687
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,128,3072,1536,8,256,4,1,balanced,0.22057600816090903
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,160,3072,1536,8,256,4,1,balanced,0.21860265731811523
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,192,3072,1536,8,256,4,1,balanced,0.21822933355967203
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,256,3072,1536,8,256,4,1,balanced,0.22398932774861655
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,320,3072,1536,8,256,4,1,balanced,0.22703999280929565
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,384,3072,1536,8,256,4,1,balanced,0.2307680050532023
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,512,3072,1536,8,256,4,1,balanced,0.23568532864252725
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,768,3072,1536,8,256,4,1,balanced,0.3057226737340291
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,1024,3072,1536,8,256,4,1,balanced,0.3160746693611145
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,1536,3072,1536,8,256,4,1,balanced,0.3425813515981038
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,8192,4096,1536,8,128,1,64,power_law_1.2,1.6734079360961913
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,2048,3072,1536,8,256,4,1,balanced,0.3673653205235799
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,3072,3072,1536,8,256,4,1,balanced,0.4183573325475057
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,4096,3072,1536,8,256,4,1,balanced,0.47143999735514325
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,12288,7168,2048,8,384,1,4,power_law_1.2,5.809932708740234
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,6144,3072,1536,8,256,4,1,balanced,0.7083199818929037
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,768,4096,2688,22,512,1,1,balanced,16.00929005940755
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,8192,3072,1536,8,256,4,1,balanced,0.8143200079600016
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,12288,3072,1536,8,256,4,1,balanced,1.1592053572336833
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8,16384,3072,1536,8,256,4,1,balanced,1.5037066141764324
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,1,6144,2048,8,256,1,128,power_law_1.2,0.05392000079154968
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,1024,4096,2688,22,512,1,1,balanced,16.08887481689453
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,6144,4096,14336,2,8,16,1,power_law_1.01,0.16247040033340454
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,8192,6144,16384,2,8,16,1,power_law_1.01,0.3032383918762207
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,1536,4096,2688,22,512,1,1,balanced,31.056251525878906
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,2,6144,2048,8,256,1,128,power_law_1.2,0.05477759838104248
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,16384,7168,2048,8,384,1,4,power_law_1.2,6.828217315673828
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,4,6144,2048,8,256,1,128,power_law_1.2,0.05794559717178345
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,8,6144,2048,8,256,1,128,power_law_1.2,0.05980799794197082
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,16,6144,2048,8,256,1,128,power_law_1.2,0.058847999572753905
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,2048,4096,2688,22,512,1,1,balanced,31.134719848632812
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,32,6144,2048,8,256,1,128,power_law_1.2,0.07854080200195312
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,48,6144,2048,8,256,1,128,power_law_1.2,0.0789247989654541
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,64,6144,2048,8,256,1,128,power_law_1.2,0.07820799946784973
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,12288,6144,16384,2,8,16,1,power_law_1.01,0.426259183883667
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,8192,4096,14336,2,8,16,1,power_law_1.01,0.20869760513305663
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,3072,4096,2688,22,512,1,1,balanced,45.72754414876302
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,1,6144,2560,8,160,1,4,power_law_1.2,0.06113280057907104
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,12288,4096,1536,8,128,1,64,power_law_1.2,2.4465087890625
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,4096,4096,2688,22,512,1,1,balanced,46.02942911783854
