workload_label,request_index,endpoint,target_isl,target_osl,prompt_tokens,max_tokens,prompt_token_mode,shape_source
mixed,150,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,151,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,152,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,153,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,154,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,155,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,156,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,157,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,158,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,159,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,160,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,161,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,162,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,163,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,164,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,165,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,166,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,167,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,168,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,169,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,170,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,171,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,172,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,173,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,174,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,175,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,176,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,177,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,178,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,179,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,180,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,181,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,182,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,183,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,184,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,185,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,186,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,187,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,188,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,189,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,190,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,191,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,192,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,193,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,194,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,195,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,196,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,197,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,198,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,199,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,200,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,201,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,202,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,203,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,204,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,205,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,206,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,207,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,208,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,209,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,210,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,211,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
real,212,completions,4185,2028,4185,2028,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,213,completions,4503,1072,4503,1072,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,214,completions,8909,103,8909,103,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,215,completions,11164,924,11164,924,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,216,completions,15608,2157,15608,2157,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,217,completions,313,468,313,468,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,218,completions,1641,2291,1641,2291,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,219,completions,115,601,115,601,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,220,completions,10863,150,10863,150,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,221,completions,437,160,437,160,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,222,completions,467,379,467,379,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,223,completions,1342,1846,1342,1846,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,224,completions,164,126,164,126,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,225,completions,10567,412,10567,412,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,226,completions,2485,257,2485,257,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,227,completions,2379,1570,2379,1570,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,228,completions,3595,100,3595,100,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,229,completions,112,1280,112,1280,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,230,completions,7438,102,7438,102,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,231,completions,8399,1788,8399,1788,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,232,completions,770,2731,770,2731,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,233,completions,2595,247,2595,247,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,234,completions,4668,347,4668,347,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,235,completions,1145,186,1145,186,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,236,completions,7671,3502,7671,3502,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,237,completions,3458,1518,3458,1518,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,238,completions,2943,825,2943,825,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,239,completions,3193,179,3193,179,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,240,completions,101,101,101,101,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,241,completions,16384,857,16384,857,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,242,completions,2707,1468,2707,1468,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,243,completions,5188,3142,5188,3142,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,244,completions,567,118,567,118,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,245,completions,866,100,866,100,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,246,completions,109,734,109,734,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,247,completions,7210,1622,7210,1622,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,248,completions,5011,960,5011,960,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,249,completions,3882,1193,3882,1193,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,250,completions,725,209,725,209,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,251,completions,3324,1033,3324,1033,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,252,completions,532,100,532,100,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
