framework,framework_version,system,model,phase,tp_size,batch_size,seq_len_q,seq_len_kv_cache,latency_ms,rms_latency_ms,rms_kernel_count,source,measurement_mode,attribution_target
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,16,1,3.292014,0.111114,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,32,1,3.19220375,0.11008225,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,64,1,3.32012975,0.11466575,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,128,1,3.79184725,0.1186405,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,256,1,4.48671725,0.13212925,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,512,1,6.9656105,0.203362,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,1024,1,12.169718,0.33420625,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,2048,1,23.34468,0.6570915,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,4096,1,50.7417055,1.36769325,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,8192,1,105.078209,2.651619,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,1,2,3.28004675,0.116834,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,2,2,3.2195885,0.109314,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,4,2,3.191107,0.1096495,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,8,2,3.224499,0.1104325,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,16,2,3.28915975,0.1114677499999999,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,32,2,3.1889877500000003,0.10961775,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,64,2,3.32017825,0.11440175,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,128,2,3.79024975,0.11878425,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,256,2,4.4859515000000005,0.13205675,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,512,2,6.97515975,0.203835,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,1024,2,12.27805575,0.338614,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,2048,2,23.414023,0.6625884999999999,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,4096,2,50.238591,1.35895325,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,8192,2,104.12625825,2.63524325,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,1,4,3.2449415,0.11595525,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,2,4,3.188908,0.1090344999999999,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,4,4,3.1907275,0.1094655,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,8,4,3.23134275,0.110466,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,16,4,3.2911525,0.1108427499999999,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,32,4,3.1917197500000003,0.11000275,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,64,4,3.320713,0.113554,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,128,4,3.791875,0.11861825,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,256,4,4.49022425,0.1318425,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,512,4,6.9859365,0.2041805,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,1024,4,12.2612365,0.3383447499999999,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,2048,4,24.376087,0.6904689999999999,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,4096,4,50.44924,1.3672672499999998,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,8192,4,104.8490815,2.64792325,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,1,8,3.273153,0.1161229999999999,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,2,8,3.22960725,0.1102325,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
vLLM,0.20.1,NVIDIA B300 SXM6 AC,Qwen/Qwen3-32B,CTX,1,1,4,8,3.22691325,0.11012075,33,qwen3_32b_tp1_tp2_tp8_vllm_context_2d_prefix_cache_new1_8192_past0_65536_model_cap_b300_nsys2025.csv,deployment-parity,cudagraph_wrapper
