framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,3072,4096,1024,10,512,1,2,power_law_1.01,5.1908222198486325
VLLM,0.20.0,NVIDIA GB200,moe,vllm_fused_moe,fp8,32,3072,1536,8,256,2,1,power_law_1.2,0.15860480070114136
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,4096,4096,1024,10,512,1,2,power_law_1.01,5.943884658813476
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,320,7168,2048,8,384,16,1,balanced,1.1951626936594646
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,384,7168,2048,8,384,16,1,balanced,1.2000959714253743
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,512,7168,2048,8,384,16,1,balanced,1.2142773469289143
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,6144,4096,1024,10,512,1,2,power_law_1.01,7.923750305175782
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,768,7168,2048,8,384,16,1,balanced,1.2365012963612874
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,1024,7168,2048,8,384,16,1,balanced,1.2613279819488525
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,1536,7168,2048,8,384,16,1,balanced,1.3096693356831868
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,2048,7168,2048,8,384,16,1,balanced,1.3643412590026855
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,3072,7168,2048,8,384,16,1,balanced,1.4703946113586426
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,4096,7168,2048,8,384,16,1,balanced,2.487328052520752
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,6144,7168,2048,8,384,16,1,balanced,2.6975841522216797
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,8192,4096,1024,10,512,1,2,power_law_1.01,9.725920104980469
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,8192,7168,2048,8,384,16,1,balanced,3.7990185419718423
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,8,7168,2048,8,384,1,64,power_law_1.2,0.31868159770965576
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,12288,7168,2048,8,384,16,1,balanced,4.955354690551758
VLLM,0.20.0,NVIDIA GB200,moe,vllm_fused_moe,fp8,48,3072,1536,8,256,2,1,power_law_1.2,0.2622848033905029
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,16,7168,2048,8,384,1,64,power_law_1.2,0.36445438861846924
VLLM,0.20.0,NVIDIA GB200,moe,vllm_fused_moe,fp8,64,3072,1536,8,256,2,1,power_law_1.2,0.2761087894439697
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,16384,7168,2048,8,384,16,1,balanced,7.101146697998047
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,12288,4096,1024,10,512,1,2,power_law_1.01,13.424787902832032
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,1,6144,2560,8,160,1,32,power_law_1.2,0.11226880550384521
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,2,6144,2560,8,160,1,32,power_law_1.2,0.11096960306167603
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,16384,4096,1024,10,512,1,2,power_law_1.01,17.760511779785155
VLLM,0.20.0,NVIDIA GB200,moe,vllm_fused_moe,fp8,1,7168,2048,8,256,16,1,power_law_1.01,0.02885119915008545
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,32,7168,2048,8,384,1,64,power_law_1.2,0.3086335897445679
VLLM,0.20.0,NVIDIA GB200,moe,vllm_fused_moe,fp8,2,7168,2048,8,256,16,1,power_law_1.01,0.03294720053672791
VLLM,0.20.0,NVIDIA GB200,moe,vllm_fused_moe,fp8,4,7168,2048,8,256,16,1,power_law_1.01,0.04791040122509003
VLLM,0.20.0,NVIDIA GB200,moe,vllm_fused_moe,fp8,8,7168,2048,8,256,16,1,power_law_1.01,0.06646400094032287
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,4,6144,2560,8,160,1,32,power_law_1.2,0.31484160423278806
VLLM,0.20.0,NVIDIA GB200,moe,vllm_fused_moe,fp8,16,7168,2048,8,256,16,1,power_law_1.01,0.08919680118560791
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,8,6144,2560,8,160,1,32,power_law_1.2,0.32510719299316404
VLLM,0.20.0,NVIDIA GB200,moe,vllm_fused_moe,fp8,32,7168,2048,8,256,16,1,power_law_1.01,0.11607680320739747
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,16,6144,2560,8,160,1,32,power_law_1.2,0.3412224054336548
VLLM,0.20.0,NVIDIA GB200,moe,vllm_fused_moe,fp8,48,7168,2048,8,256,16,1,power_law_1.01,0.17699840068817138
VLLM,0.20.0,NVIDIA GB200,moe,vllm_fused_moe,fp8,64,7168,2048,8,256,16,1,power_law_1.01,0.18112000226974487
