framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency,vllm_max_model_len,vllm_max_num_seqs,vllm_max_num_batched_tokens,used_cuda_graph
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,768,2880,2880,4,128,1,8,power_law_1.2,0.35589120388031004,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,1024,2880,2880,4,128,1,8,power_law_1.2,0.49881601333618164,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1,2048,512,8,256,1,1,balanced,0.0172159994641939,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,2,2048,512,8,256,1,1,balanced,0.0226346676548322,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,3,2048,512,8,256,1,1,balanced,0.0362880006432533,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,512,8,256,1,1,balanced,0.0430666655302047,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,5,2048,512,8,256,1,1,balanced,0.0522559980551401,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,6,2048,512,8,256,1,1,balanced,0.0578559984763463,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,7,2048,512,8,256,1,1,balanced,0.0653440008560816,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,8,2048,512,8,256,1,1,balanced,0.071082666516304,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,16,2048,512,8,256,1,1,balanced,0.128490666548411,,,,
