phase,source,lane,group,kclass,start_us,dur_us
prefill_captured,golden,memory,backbone,elementwise,2981.759,2.144
prefill_captured,golden,memory,backbone,elementwise,2987.122,7.232
prefill_captured,golden,memory,backbone,elementwise,3027.047,2.656
prefill_captured,golden,memory,backbone,elementwise,3029.772,4.128
prefill_captured,golden,memory,backbone,elementwise,3034.106,1.568
prefill_captured,golden,compute,backbone,dense_gemm,3035.849,4.768
prefill_captured,golden,comm,comm,all_reduce,3040.694,22.401
prefill_captured,golden,compute,moe,shared_expert,3177.423,2.496
prefill_captured,golden,compute,backbone,dense_gemm,3180.125,5.024
prefill_captured,golden,compute,backbone,dense_gemm,3180.381,8.544
prefill_captured,golden,compute,moe,router,3188.029,8.064
prefill_captured,golden,compute,moe,shared_expert,3189.405,1.632
prefill_captured,golden,compute,backbone,dense_gemm,3191.197,4.896
prefill_captured,golden,compute,backbone,dense_gemm,3195.037,5.152
prefill_captured,golden,compute,moe,moe_gemm,3196.061,26.464
prefill_captured,golden,compute,backbone,dense_gemm,3216.861,3.296
prefill_captured,golden,compute,moe,moe_gemm,3220.445,16.0
prefill_captured,golden,memory,backbone,elementwise,3234.237,4.225
prefill_captured,golden,compute,moe,router,3235.357,3.329
prefill_captured,golden,memory,backbone,elementwise,3238.702,4.288
prefill_captured,golden,comm,comm,all_reduce,3243.158,1.568
prefill_captured,golden,comm,comm,all_reduce,3244.802,18.176
prefill_captured,golden,memory,backbone,elementwise,3263.108,2.56
prefill_captured,golden,compute,backbone,dense_gemm,3265.744,6.112
prefill_captured,golden,memory,backbone,elementwise,3271.925,1.376
prefill_captured,golden,memory,backbone,elementwise,3273.377,1.76
prefill_captured,golden,memory,backbone,elementwise,3275.213,2.752
prefill_captured,golden,compute,backbone,attention,3278.781,3.104
prefill_captured,golden,compute,backbone,attention,3281.962,10.72
prefill_captured,golden,memory,backbone,elementwise,3293.407,1.44
prefill_captured,golden,compute,backbone,dense_gemm,3295.19,4.736
prefill_captured,golden,comm,comm,all_reduce,3300.094,22.401
prefill_captured,golden,compute,moe,shared_expert,3359.963,2.656
prefill_captured,golden,compute,backbone,dense_gemm,3362.764,5.152
prefill_captured,golden,compute,backbone,dense_gemm,3363.02,8.48
prefill_captured,golden,compute,moe,router,3370.508,8.32
prefill_captured,golden,compute,moe,shared_expert,3371.98,1.632
prefill_captured,golden,compute,backbone,dense_gemm,3373.996,4.448
prefill_captured,golden,compute,backbone,dense_gemm,3377.804,3.68
prefill_captured,golden,compute,moe,moe_gemm,3378.508,29.761
prefill_captured,golden,compute,backbone,dense_gemm,3400.237,3.392
prefill_captured,golden,memory,backbone,elementwise,3404.141,1.76
prefill_captured,golden,compute,moe,moe_gemm,3405.773,18.048
prefill_captured,golden,memory,backbone,elementwise,3420.557,6.016
prefill_captured,golden,compute,moe,router,3422.093,4.512
prefill_captured,golden,comm,comm,all_reduce,3426.865,1.888
prefill_captured,golden,comm,comm,all_reduce,3428.829,17.216
prefill_captured,golden,memory,backbone,elementwise,3446.121,2.687
prefill_captured,golden,compute,backbone,dense_gemm,3448.808,6.752
prefill_captured,golden,compute,backbone,dense_gemm,3454.28,4.32
prefill_captured,golden,compute,backbone,dense_gemm,3457.864,2.56
prefill_captured,golden,memory,backbone,elementwise,3460.508,5.376
prefill_captured,golden,memory,backbone,gdn_mamba,3466.624,6.048
prefill_captured,golden,memory,backbone,gdn_mamba,3473.107,2.496
prefill_captured,golden,memory,backbone,elementwise,3475.985,2.112
prefill_captured,golden,memory,backbone,elementwise,3478.57,7.616
prefill_captured,golden,memory,backbone,elementwise,3486.888,1.664
